DS,Id,LenT,TypoT,UTT,LenD,TypoD,UTD,LenB,TypoB,UTB
Android,37644,7,0,0,119,14,12,126,14,12
Android,37643,9,3,3,38,11,7,47,14,10
Android,37642,3,0,0,121,19,7,124,19,7
Android,37641,3,0,0,42,2,2,45,2,2
Android,37640,8,1,1,38,2,2,46,3,3
Android,37639,8,1,1,53,7,4,61,8,5
Android,37638,8,1,1,46,3,3,54,4,4
Android,37637,4,1,1,9,2,2,13,3,3
Android,37636,6,2,2,9,0,0,15,2,2
Android,37635,7,0,0,14,0,0,21,0,0
Android,37634,5,1,1,10,2,2,15,3,3
Android,37633,3,0,0,30,3,3,33,3,3
Android,37632,7,1,1,73,2,2,80,3,3
Android,37631,11,1,1,80,8,7,91,9,8
Android,37630,6,2,2,21,4,4,27,6,6
Android,37629,5,1,1,30,2,2,35,3,3
Android,37628,6,0,0,76,12,8,82,12,8
Android,37627,8,1,1,71,15,11,79,16,12
Android,37626,13,1,1,107,8,6,120,9,7
Android,37625,3,0,0,16,1,1,19,1,1
Android,37624,11,2,2,61,8,5,72,10,7
Android,37623,4,1,1,58,12,7,62,13,8
Android,37622,9,1,1,30,1,1,39,2,2
Android,37621,3,0,0,18,0,0,21,0,0
Android,37620,7,0,0,21,2,2,28,2,2
Android,37619,4,0,0,15,1,1,19,1,1
Android,37618,8,1,1,45,10,9,53,11,10
Android,37617,7,0,0,27,1,1,34,1,1
Android,37616,6,1,1,24,3,3,30,4,4
Android,37615,4,2,2,54,26,13,58,28,15
Android,37614,15,4,4,48,3,3,63,7,7
Android,37613,6,1,1,75,4,4,81,5,5
Android,37612,5,0,0,23,0,0,28,0,0
Android,37611,11,0,0,60,2,1,71,2,1
Android,37610,2,0,0,22,3,3,24,3,3
Android,37609,4,0,0,16,0,0,20,0,0
Android,37608,7,0,0,75,5,3,82,5,3
Android,37607,5,1,1,166,39,24,171,40,25
Android,37606,4,2,2,110,28,16,114,30,18
Android,37605,2,0,0,244,86,16,246,86,16
Android,37604,8,1,1,138,13,13,146,14,14
Android,37603,5,3,3,59,22,14,64,25,17
Android,37602,3,2,2,42,9,6,45,11,8
Android,37601,5,0,0,44,1,1,49,1,1
Android,37600,7,0,0,31,0,0,38,0,0
Android,37599,4,0,0,275,49,23,279,49,23
Android,37598,7,2,2,11,3,2,18,5,4
Android,37597,3,1,1,133,26,12,136,27,13
Android,37596,1,0,0,10,3,3,11,3,3
Android,37595,2,0,0,36,7,6,38,7,6
Android,37594,6,0,0,49,1,1,55,1,1
Android,37593,7,1,1,21,2,2,28,3,3
Android,37592,3,0,0,48,3,3,51,3,3
Android,37591,3,1,1,27,5,3,30,6,4
Android,37590,6,0,0,37,4,4,43,4,4
Android,37589,2,1,1,9,2,2,11,3,3
Android,37588,7,2,2,38,1,1,45,3,3
Android,37587,3,2,2,31,7,7,34,9,9
Android,37586,4,1,1,83,18,14,87,19,15
Android,37585,1,1,1,66,0,0,67,1,1
Android,37584,4,0,0,80,7,5,84,7,5
Android,37583,11,1,1,260,87,50,271,88,51
Android,37582,6,2,1,90,11,7,96,13,8
Android,37581,5,1,1,62,25,8,67,26,9
Android,37580,3,1,1,8,4,4,11,5,5
Android,37579,6,2,2,40,3,3,46,5,5
Android,37578,6,1,1,74,4,2,80,5,3
Android,37577,3,3,3,278,93,36,281,96,39
Android,37576,2,0,0,51,15,11,53,15,11
Android,37575,4,1,1,60,7,5,64,8,6
Android,37574,2,0,0,31,3,3,33,3,3
Android,37573,4,1,1,54,3,3,58,4,4
Android,37572,5,0,0,46,0,0,51,0,0
Android,37571,3,0,0,19,2,2,22,2,2
Android,37570,6,0,0,16,1,1,22,1,1
Android,37569,11,1,1,29,2,1,40,3,2
Android,37568,4,0,0,22,1,1,26,1,1
Android,37567,6,1,1,48,8,5,54,9,6
Android,37566,6,0,0,6,0,0,12,0,0
Android,37565,4,0,0,111,18,11,115,18,11
Android,37564,6,0,0,13,1,1,19,1,1
Android,37563,6,0,0,82,4,4,88,4,4
Android,37562,5,0,0,16,2,2,21,2,2
Android,37561,7,3,3,46,10,10,53,13,13
Android,37560,2,0,0,80,24,21,82,24,21
Android,37559,8,0,0,99,2,2,107,2,2
Android,37558,8,1,1,87,1,1,95,2,2
Android,37557,3,0,0,124,15,9,127,15,9
Android,37556,6,0,0,12,0,0,18,0,0
Android,37555,9,6,6,74,38,19,83,44,25
Android,37554,9,2,2,29,4,3,38,6,5
Android,37553,4,2,2,42,8,7,46,10,9
Android,37552,2,0,0,54,10,8,56,10,8
Android,37551,3,0,0,79,6,6,82,6,6
Android,37550,9,1,1,43,8,8,52,9,9
Android,37549,12,2,1,119,40,19,131,42,20
Android,37548,5,1,1,24,1,1,29,2,2
Android,37547,11,3,3,111,21,17,122,24,20
Android,37546,6,1,1,43,6,3,49,7,4
Android,37545,6,1,1,34,6,5,40,7,6
Android,37544,6,1,1,33,8,4,39,9,5
Android,37543,2,0,0,48,3,3,50,3,3
Android,37542,5,1,1,61,10,9,66,11,10
Android,37541,1,0,0,2,0,0,3,0,0
Android,37540,8,2,1,111,13,9,119,15,10
Android,37539,1,1,1,48,3,3,49,4,4
Android,37538,4,2,2,63,37,36,67,39,38
Android,37537,12,5,5,48,25,24,60,30,29
Android,37536,6,1,1,38,10,7,44,11,8
Android,37535,8,0,0,67,4,4,75,4,4
Android,37534,3,2,2,96,15,10,99,17,12
Android,37533,4,1,1,58,7,7,62,8,8
Android,37532,2,1,1,35,4,4,37,5,5
Android,37531,13,4,4,61,13,12,74,17,16
Android,37530,9,0,0,79,3,3,88,3,3
Android,37529,7,0,0,73,11,7,80,11,7
Android,37528,7,1,1,40,4,2,47,5,3
Android,37527,6,1,1,25,1,1,31,2,2
Android,37526,6,1,1,25,1,1,31,2,2
Android,37525,4,1,1,22,3,2,26,4,3
Android,37524,8,3,3,98,27,12,106,30,15
Android,37523,8,0,0,22,0,0,30,0,0
Android,37522,10,1,1,46,1,1,56,2,2
Android,37521,4,1,1,4,2,2,8,3,3
Android,37520,3,0,0,25,3,3,28,3,3
Android,37519,3,1,1,69,4,3,72,5,4
Android,37518,10,3,3,47,6,5,57,9,8
Android,37517,6,1,1,59,6,6,65,7,7
Android,37516,8,0,0,50,6,5,58,6,5
Android,37515,2,0,0,215,52,15,217,52,15
Android,37514,3,2,2,15,5,3,18,7,5
Android,37513,8,3,3,80,23,15,88,26,18
Android,37512,8,0,0,33,8,6,41,8,6
Android,37511,6,0,0,119,3,3,125,3,3
Android,37510,4,0,0,23,0,0,27,0,0
Android,37509,6,0,0,67,1,1,73,1,1
Android,37508,9,2,2,153,29,22,162,31,24
Android,37507,6,0,0,73,10,10,79,10,10
Android,37506,4,1,1,66,5,4,70,6,5
Android,37505,7,2,2,16,1,1,23,3,3
Android,37504,1,0,0,17,8,5,18,8,5
Android,37503,5,0,0,17,1,1,22,1,1
Android,37502,7,1,1,118,15,6,125,16,7
Android,37501,7,1,1,61,10,7,68,11,8
Android,37500,9,3,3,57,15,14,66,18,17
Android,37499,3,1,1,91,18,15,94,19,16
Android,37498,4,1,1,112,11,8,116,12,9
Android,37497,6,0,0,65,0,0,71,0,0
Android,37496,3,0,0,31,1,1,34,1,1
Android,37495,1,0,0,48,3,3,49,3,3
Android,37494,7,3,3,129,14,9,136,17,12
Android,37493,5,0,0,76,2,2,81,2,2
Android,37492,5,0,0,31,4,4,36,4,4
Android,37491,11,1,1,60,4,4,71,5,5
Android,37490,3,0,0,60,3,2,63,3,2
Android,37489,14,0,0,76,3,3,90,3,3
Android,37488,5,0,0,1963,518,199,1968,518,199
Android,37487,3,1,1,19,0,0,22,1,1
Android,37486,4,1,1,8,1,1,12,2,2
Android,37485,9,1,1,34,3,3,43,4,4
Android,37484,7,4,4,94,26,18,101,30,22
Android,37483,5,0,0,1,0,0,6,0,0
Android,37482,10,2,2,70,7,6,80,9,8
Android,37481,5,1,1,36,5,4,41,6,5
Android,37480,8,0,0,48,3,3,56,3,3
Android,37479,7,0,0,67,4,4,74,4,4
Android,37478,6,1,1,48,3,3,54,4,4
Android,37477,6,1,1,48,3,3,54,4,4
Android,37476,10,2,2,257,49,27,267,51,29
Android,37475,4,1,1,49,7,4,53,8,5
Android,37474,12,2,2,56,6,3,68,8,5
Android,37473,8,2,2,63,8,4,71,10,6
Android,37472,6,0,0,231,64,24,237,64,24
Android,37471,7,3,3,47,7,4,54,10,7
Android,37470,3,0,0,80,17,9,83,17,9
Android,37469,8,2,2,68,5,4,76,7,6
Android,37468,8,1,1,630,32,8,638,33,9
Android,37467,2,0,0,34,3,2,36,3,2
Android,37466,3,0,0,14,0,0,17,0,0
Android,37465,9,1,1,34,4,4,43,5,5
Android,37464,3,0,0,12,0,0,15,0,0
Android,37463,11,4,4,107,18,7,118,22,11
Android,37462,7,1,1,35,2,2,42,3,3
