DS,Id,LenT,TypoT,UTT,LenD,TypoD,UTD,LenB,TypoB,UTB
Eclipse,214049,7,1,1,17,1,1,24,2,2
Eclipse,224159,6,0,0,7,0,0,13,0,0
Eclipse,224160,6,0,0,13,2,2,19,2,2
Eclipse,224161,6,0,0,21,1,1,27,1,1
Eclipse,224162,7,3,3,100,20,15,107,23,18
Eclipse,224163,4,0,0,3,1,1,7,1,1
Eclipse,224164,12,1,1,15,0,0,27,1,1
Eclipse,224165,6,0,0,10,0,0,16,0,0
Eclipse,224166,5,0,0,13,0,0,18,0,0
Eclipse,224167,2,0,0,4,0,0,6,0,0
Eclipse,224168,6,0,0,133,31,12,139,31,12
Eclipse,215058,5,2,2,45,10,6,50,12,8
Eclipse,224169,4,0,0,9,2,1,13,2,1
Eclipse,224170,7,0,0,36,1,1,43,1,1
Eclipse,224171,7,1,1,11,0,0,18,1,1
Eclipse,224172,6,2,2,5,0,0,11,2,2
Eclipse,224173,7,0,0,17,2,2,24,2,2
Eclipse,224174,7,0,0,54,18,10,61,18,10
Eclipse,224177,7,1,1,93,12,6,100,13,7
Eclipse,224178,5,0,0,7,0,0,12,0,0
Eclipse,215059,6,1,1,187,44,20,193,45,21
Eclipse,224179,2,0,0,36,0,0,38,0,0
Eclipse,224180,4,1,1,40,7,3,44,8,4
Eclipse,224181,9,1,1,16,2,2,25,3,3
Eclipse,224183,7,0,0,33,5,4,40,5,4
Eclipse,224184,11,1,1,39,5,3,50,6,4
Eclipse,224185,6,1,1,18,4,4,24,5,5
Eclipse,224186,7,0,0,35,1,1,42,1,1
Eclipse,224187,5,1,1,29,2,2,34,3,3
Eclipse,224188,5,0,0,160,31,19,165,31,19
Eclipse,224189,5,0,0,48,3,2,53,3,2
Eclipse,224190,4,3,3,34,8,7,38,11,10
Eclipse,224191,5,0,0,12,1,1,17,1,1
Eclipse,224192,6,0,0,30,0,0,36,0,0
Eclipse,224193,2,1,1,16,2,2,18,3,3
Eclipse,224194,5,2,2,120,23,12,125,25,14
Eclipse,224195,5,2,2,120,23,12,125,25,14
