DS,Id,LenT,TypoT,UTT,LenD,TypoD,UTD,LenB,TypoB,UTB
Mozilla,537438,8,1,1,62,7,5,70,8,6
Mozilla,548566,4,2,2,69,14,10,73,16,12
Mozilla,548569,8,2,1,26,4,2,34,6,3
Mozilla,548570,18,5,4,284,114,54,302,119,58
Mozilla,548571,9,4,4,615,208,53,624,212,57
Mozilla,548572,5,0,0,64,9,5,69,9,5
Mozilla,548574,5,3,3,312,151,63,317,154,66
Mozilla,538546,9,1,1,107,13,6,116,14,7
Mozilla,548580,12,3,3,149,17,11,161,20,14
Mozilla,548582,6,1,1,6,1,1,12,2,2
Mozilla,548583,7,2,2,42,8,7,49,10,9
Mozilla,548584,7,2,2,105,10,6,112,12,8
Mozilla,548585,8,0,0,230,70,33,238,70,33
Mozilla,548586,2,1,1,38,12,9,40,13,10
Mozilla,548587,9,2,2,122,18,13,131,20,15
Mozilla,548588,8,3,3,87,18,11,95,21,14
Mozilla,538547,8,1,1,176,43,24,184,44,25
Mozilla,548589,4,0,0,31,4,4,35,4,4
Mozilla,548590,5,0,0,22,9,7,27,9,7
Mozilla,548591,3,0,0,64,11,8,67,11,8
Mozilla,548592,6,1,1,17,4,3,23,5,4
Mozilla,548595,9,5,5,9,6,6,18,11,11
Mozilla,548596,4,1,1,42,7,6,46,8,7
Mozilla,548597,5,0,0,19,2,2,24,2,2
Mozilla,548598,6,4,4,391,154,70,397,158,74
Mozilla,548599,6,1,1,80,11,8,86,12,9
Mozilla,548600,5,0,0,76,18,14,81,18,14
Mozilla,538548,19,2,2,114,12,6,133,14,8
Mozilla,548601,5,1,1,18,3,3,23,4,4
Mozilla,548602,5,2,2,9,1,1,14,3,3
Mozilla,548603,4,0,0,32,3,3,36,3,3
Mozilla,548604,11,1,1,153,17,9,164,18,10
Mozilla,548605,9,1,1,10,1,1,19,2,2
Mozilla,548607,9,1,1,86,15,8,95,16,9
Mozilla,548608,6,1,1,16,2,2,22,3,3
Mozilla,548609,5,1,1,42,5,5,47,6,6
Mozilla,548611,3,0,0,29,5,3,32,5,3
Mozilla,548612,4,0,0,28,0,0,32,0,0
Mozilla,548613,5,1,1,26,7,5,31,8,6
Mozilla,548614,6,0,0,4,1,1,10,1,1
Mozilla,548615,9,0,0,14,0,0,23,0,0
Mozilla,548618,4,3,3,7,0,0,11,3,3
Mozilla,548620,4,0,0,54,8,4,58,8,4
Mozilla,548621,7,2,2,6,0,0,13,2,2
Mozilla,538550,5,2,2,103,15,6,108,17,8
Mozilla,548623,7,0,0,59,6,2,66,6,2
Mozilla,548624,6,2,2,66,12,6,72,14,8
Mozilla,548625,5,1,1,133,9,4,138,10,5
Mozilla,548626,7,0,0,17,0,0,24,0,0
Mozilla,548627,4,1,1,43,18,12,47,19,13
Mozilla,548628,5,0,0,13,2,2,18,2,2
Mozilla,548629,9,3,3,121,23,12,130,26,15
Mozilla,548633,7,0,0,22,5,4,29,5,4
Mozilla,548634,5,3,3,276,121,50,281,124,53
Mozilla,548635,5,1,1,46,3,3,51,4,4
Mozilla,548636,3,0,0,72,4,2,75,4,2
Mozilla,548637,5,0,0,137,10,8,142,10,8
Mozilla,548638,5,1,1,16,6,5,21,7,6
Mozilla,548640,3,1,1,22,12,6,25,13,7
Mozilla,548641,13,5,4,66,26,24,79,31,28
Mozilla,548642,8,2,2,215,32,18,223,34,20
Mozilla,548643,7,3,3,9,3,3,16,6,6
Mozilla,548645,4,0,0,88,10,10,92,10,10
Mozilla,548646,6,1,1,20,0,0,26,1,1
Mozilla,538552,9,1,1,113,14,11,122,15,12
Mozilla,548647,2,0,0,44,4,4,46,4,4
Mozilla,548648,11,4,4,114,21,16,125,25,20
Mozilla,548649,11,2,2,105,18,12,116,20,14
Mozilla,548650,9,2,2,98,15,5,107,17,7
Mozilla,548651,5,1,1,10,0,0,15,1,1
Mozilla,548652,5,1,1,14,5,5,19,6,6
Mozilla,548653,2,0,0,33,6,5,35,6,5
Mozilla,548654,7,1,1,27,11,6,34,12,7
Mozilla,548655,3,0,0,19,2,2,22,2,2
Mozilla,548656,6,0,0,93,6,4,99,6,4
Mozilla,548659,5,1,1,18,1,1,23,2,2
Mozilla,548661,5,0,0,37,5,5,42,5,5
Mozilla,548662,3,1,1,79,8,5,82,9,6
Mozilla,548663,10,0,0,118,11,10,128,11,10
Mozilla,548664,6,2,2,12,3,3,18,5,5
Mozilla,548665,5,1,1,1,0,0,6,1,1
Mozilla,548666,4,0,0,10,0,0,14,0,0
Mozilla,548667,4,3,3,8,1,1,12,4,4
Mozilla,548668,4,0,0,48,16,16,52,16,16
Mozilla,538554,16,1,1,52,4,3,68,5,4
Mozilla,548669,9,2,2,34,5,4,43,7,6
Mozilla,548670,5,0,0,43,11,6,48,11,6
Mozilla,548671,7,0,0,61,3,3,68,3,3
Mozilla,548672,6,0,0,25,3,3,31,3,3
Mozilla,548673,3,1,1,6,2,2,9,3,3
