DS,Id,LenT,TypoT,UTT,LenD,TypoD,UTD,LenB,TypoB,UTB
Openoffice,84934,3,2,2,95,22,12,98,24,14
Openoffice,94985,6,2,2,115,38,24,121,40,26
Openoffice,94986,5,1,1,5,1,1,10,2,2
Openoffice,94987,6,0,0,160,39,11,166,39,11
Openoffice,94988,4,0,0,109,42,17,113,42,17
Openoffice,94989,3,0,0,44,0,0,47,0,0
Openoffice,94990,4,0,0,29,1,1,33,1,1
Openoffice,94991,5,0,0,36,6,6,41,6,6
Openoffice,94992,5,0,0,17,0,0,22,0,0
Openoffice,94993,13,3,3,173,48,13,186,51,16
Openoffice,94994,4,0,0,70,25,11,74,25,11
Openoffice,85940,3,2,2,18,5,4,21,7,6
Openoffice,94995,6,0,0,26,0,0,32,0,0
Openoffice,94996,8,0,0,27,0,0,35,0,0
Openoffice,94997,6,1,1,8,2,2,14,3,3
Openoffice,94999,6,0,0,32,3,3,38,3,3
Openoffice,95000,6,0,0,70,3,2,76,3,2
Openoffice,95001,8,0,0,9,0,0,17,0,0
Openoffice,95002,5,1,1,20,1,1,25,2,2
Openoffice,95003,4,0,0,19,3,3,23,3,3
Openoffice,95004,3,0,0,30,1,1,33,1,1
Openoffice,85941,10,1,1,19,1,1,29,2,2
Openoffice,95006,6,0,0,44,4,4,50,4,4
Openoffice,95007,4,0,0,16,2,2,20,2,2
Openoffice,95008,4,0,0,17,1,1,21,1,1
Openoffice,95009,3,0,0,58,3,3,61,3,3
Openoffice,95010,13,1,1,53,9,6,66,10,7
Openoffice,95011,3,1,1,692,109,12,695,110,13
Openoffice,95012,8,0,0,25,5,5,33,5,5
Openoffice,95013,5,1,1,17,0,0,22,1,1
Openoffice,95014,4,1,1,82,13,8,86,14,9
Openoffice,85942,6,2,2,50,4,3,56,6,5
Openoffice,95016,4,1,1,42,10,4,46,11,5
Openoffice,95017,11,2,2,86,27,23,97,29,25
Openoffice,95018,8,1,1,6,1,1,14,2,2
Openoffice,95019,4,0,0,13,0,0,17,0,0
Openoffice,95020,5,0,0,26,0,0,31,0,0
Openoffice,95021,3,1,1,98,21,10,101,22,11
Openoffice,95022,8,2,2,99,25,15,107,27,17
Openoffice,95023,7,0,0,9,1,1,16,1,1
Openoffice,95024,6,1,1,13,6,6,19,7,7
Openoffice,85943,4,1,1,15,1,1,19,2,2
Openoffice,95025,7,0,0,45,3,2,52,3,2
Openoffice,95026,7,1,1,57,3,2,64,4,3
Openoffice,95027,4,1,1,23,2,2,27,3,3
Openoffice,95028,4,1,1,75,22,16,79,23,17
Openoffice,95029,6,0,0,61,0,0,67,0,0
Openoffice,95030,6,2,2,63,8,4,69,10,6
Openoffice,95031,4,1,1,24,6,4,28,7,5
Openoffice,95032,8,0,0,30,1,1,38,1,1
Openoffice,95033,6,0,0,21,1,1,27,1,1
Openoffice,95034,6,1,1,36,9,5,42,10,6
Openoffice,85944,4,1,1,19,1,1,23,2,2
Openoffice,95035,4,0,0,13,1,1,17,1,1
Openoffice,95036,7,1,1,56,10,7,63,11,8
Openoffice,95037,6,0,0,57,3,3,63,3,3
Openoffice,95038,11,3,2,448,33,9,459,36,11
Openoffice,95039,7,1,1,77,19,15,84,20,16
Openoffice,95040,6,2,2,80,12,8,86,14,10
Openoffice,95041,5,1,1,20,2,2,25,3,3
Openoffice,95042,13,1,1,134,4,3,147,5,4
Openoffice,95043,7,2,1,57,12,12,64,14,13
Openoffice,95044,6,0,0,35,0,0,41,0,0
Openoffice,85945,7,0,0,12,2,2,19,2,2
Openoffice,95045,13,2,1,85,12,10,98,14,11
Openoffice,95046,7,0,0,65,9,7,72,9,7
Openoffice,95047,5,0,0,20,0,0,25,0,0
Openoffice,95048,7,1,1,34,8,7,41,9,8
Openoffice,95049,4,0,0,32,1,1,36,1,1
Openoffice,95050,7,2,2,21,2,2,28,4,4
Openoffice,95051,5,2,2,22,2,2,27,4,4
Openoffice,95052,6,0,0,39,1,1,45,1,1
Openoffice,95053,4,0,0,17,1,1,21,1,1
Openoffice,95054,6,0,0,90,0,0,96,0,0
Openoffice,85946,5,0,0,98,0,0,103,0,0
Openoffice,95055,5,0,0,65,1,1,70,1,1
Openoffice,95056,3,0,0,59,10,7,62,10,7
Openoffice,95057,9,0,0,71,12,6,80,12,6
Openoffice,95058,7,0,0,59,10,9,66,10,9
Openoffice,95059,7,0,0,22,3,3,29,3,3
Openoffice,95060,9,1,1,39,6,6,48,7,7
Openoffice,95061,5,0,0,38,1,1,43,1,1
Openoffice,95063,6,0,0,196,75,43,202,75,43
Openoffice,95064,5,1,1,14,1,1,19,2,2
Openoffice,85947,6,1,1,82,7,4,88,8,5
Openoffice,95065,10,3,3,377,168,67,387,171,70
Openoffice,95066,9,3,3,357,168,74,366,171,77
Openoffice,95067,9,3,2,465,187,72,474,190,74
Openoffice,95068,4,0,0,9,2,2,13,2,2
