Word,Corrected,Connected,Additional,Removal,Subs,Undefined,??????
absspinner,abs spinner,1,,,,,
abstra,abstract,,,2,,,
abstractacountauthenticator,abstract account authenticator,2,,,,,
abstractactionhandlers,abstract action handlers,2,,,,,
abstractadvisorautoproxycreator,abstract advisor auto proxy creator,4,,,,,
abstractannotationmodelprovider,abstract annotation model provider,3,,,,,
abstractapicomponent,abstract api component,2,,,,1,
abstractapitypecontainer,abstract api type container,3,,,,1,
abstractapplication,abstract application,1,,,,,
abstractartifact,abstract artifact,1,,,,,
abstractartifactextendsitemsemanticeditpolicy,abstract artifact extends item semantic edit policy,6,,,,,
abstractastbase,abstract ast base,2,,,,1,
abstractaxissubtask,abstract axis subtask,2,,,,,
abstractbasedocumentproc,abstract base document proc,3,,,,,
abstractbasefragment,abstract base fragment,2,,,,,
abstractbeandefinition,abstract bean definition,2,,,,,
abstractbeandefinitionreader,abstract bean definition reader,3,,,,,
abstractbeanfactory,abstract bean factory,2,,,,,
abstractbranchtagpanel,abstract branch tag panel,3,,,,,
abstractbufferingstep,abstract buffering step,2,,,,,
abstractbuildintegrationactor,abstract build integration actor,3,,,,,
abstractcalendaractivity,abstract calendar activity,2,,,,,
abstractcdebuggertab,abstract c debugger tab,3,,,,,
abstractclanguage,abstract c language,2,,,,,
abstractclientconnadapter,abstract client conn adapter,3,,,,,
abstractclikelanguage,abstract c like language,3,,,,,
abstractclusteringservice,abstract clustering service,2,,,,,
abstractcompositeaspect,abstract composite aspect,2,,,,,
abstractcompositefactory,abstract composite factory,2,,,,,
abstractcompositeobjectmapping,abstract composite object mapping,3,,,,,
abstractconfigurationblockpreferencepage,abstract configuration block preference page,4,,,,,
abstractconnectorservice,abstract connector service,2,,,,,
abstractconsumer,abstract consumer,1,,,,,
abstractcontextstore,abstract context store,2,,,,,
abstractcredential,abstract credential,1,,,,,
abstractcrosstabaction,abstract cross tab action,3,,,,,
abstractcursor,abstract cursor,1,,,,,
