ID,Word,Corrected
6,abstractactionhandlers,abstract action handlers
7,abstractadvisorautoproxycreator,abstract advisor auto proxy creator
11,abstractapplication,abstract application
12,abstractartifact,abstract artifact
13,abstractartifactextendsitemsemanticeditpolicy,abstract artifact extends item semantic edit policy
15,abstractaxissubtask,abstract axis subtask
18,abstractbeandefinition,abstract bean definition
19,abstractbeandefinitionreader,abstract bean definition reader
23,abstractbuildintegrationactor,abstract build integration actor
24,abstractcalendaractivity,abstract calendar activity
25,abstractcdebuggertab,abstract c debugger tab
27,abstractclientconnadapter,abstract client conn adapter
29,abstractclusteringservice,abstract clustering service
30,abstractcompositeaspect,abstract composite aspect
31,abstractcompositefactory,abstract composite factory
32,abstractcompositeobjectmapping,abstract composite object mapping
33,abstractconfigurationblockpreferencepage,abstract configuration block preference page
35,abstractconsumer,abstract consumer
36,abstractcontextstore,abstract context store
38,abstractcredential,abstract credential
41,abstractcvalue,abstract c value
43,abstractdecoratorwrapper,abstract decorator wrapper
45,abstractdependencyinjectionspringcontexttests,abstract dependency injection spring context tests
49,abstractdroptargetlistener,abstract drop target listener
57,abstractentitycomposite,abstract entity composite
60,abstracterrorreporters,abstract error reporters
64,abstractform,abstract form
65,abstractfunctiondescription,abstract function description
67,abstractgridelement,abstract grid element
68,abstractgroupprovider,abstract group provider
69,abstracthostshell,abstract host shell
75,abstractinterfacedrivendependencyinjectionaspect,abstract interface driven dependency injection aspect
76,abstractjavamultirelationshipmapping,abstract java multi relationship mapping
77,abstractjavanamedcolumn,abstract java named column
81,abstractlaunchshortcut,abstract launch shortcut
82,abstractlayoutprovidernav,abstract layout provider nav
83,abstractlinestyleprovider,abstract line style provider
88,abstractmainvalidator,abstract main validator
89,abstractmakefile,abstract make file
94,abstractmethodtests,abstract method tests
97,abstractnamepackageeditpart,abstract name package edit part
99,abstractnodelocator,abstract node locator
104,abstractondemandcontentprovidernav,abstract on demand content provider nav
107,abstractparsetreeconstructor,abstract parse tree constructor
109,abstractplatformtransactionmanager,abstract platform transaction manager
110,abstractplugin,abstract plugin
111,abstractpluginblock,abstract plugin block
114,abstractprocessor,abstract processor
120,abstractrenderedimage,abstract rendered image
121,abstractreportelementlayoutcontroller,abstract report element layout controller
129,abstractresourceencodingdetector,abstract resource encoding detector
132,abstractresourceselectionpanel,abstract resource selection panel
133,abstractresults,abstract results
134,abstractsection,abstract section
136,abstractselectionmodule,abstract selection module
137,abstractserializerfactory,abstract serializer factory
138,abstractserialversionoperation,abstract serial version operation
139,abstractsetupdatahelper,abstract setup data helper
140,abstractsitemodel,abstract site model
143,abstractsqlparser,abstract sql parser
144,abstractstatusareaprovider,abstract status area provider
145,abstractstructuredgraphviewer,abstract structured graph viewer
148,abstractsubjectpanel,abstract subject panel
152,abstractsynchronizescope,abstract synchronize scope
153,abstractsyntaxbridge,abstract syntax bridge
154,abstractsystemviewelementer,abstract system view elementer
156,abstracttagresolvingstrategy,abstract tag resolving strategy
159,abstracttestsuite,abstract test suite
161,abstracttraceaspect,abstract trace aspect
166,abstractvariabledeclaration,abstract variable declaration
167,abstractverifiedwizardpage,abstract verified wizard page
173,abstractworkingsetdialogcopy,abstract working set dialog copy
179,abundle,a bundle
180,abunsmargin,a buns margin
181,abusebox,abuse box
188,acancel,a cancel
208,acceptevent,accept event
209,acceptfornestedbindings,accept for nested bindings
212,acceptnewdebugger,accept new debugger
215,accepttag,accept tag
222,accesscontrol,access control
224,accessfilter,access filter
229,accessibilityinputfilter,accessibility input filter
230,accessibilityworkbench,accessibility workbench
232,accessibleadapter,accessible adapter
235,accessiblebutton,accessible button
237,accessiblecombobox,accessible combobox
238,accessibledocument,accessible document
243,accessiblemenubar,accessible menu bar
246,accessibleprops,accessible props
247,accessiblerelationtype,accessible relation type
249,accessibleshapeinfo,accessible shape info
250,accessibleshapesexample,accessible shapes example
251,accessibleshapetreeinfo,accessible shape tree info
255,accessibletextdocumentview,accessible text document view
259,accessibletreelistboxentry,accessible tree list box entry
260,accesslog,access log
261,accessmode,access mode
263,accesspayload,access payload
268,accesstype,access type
283,accountactivity,account activity
286,accountbillads,account bill ads
287,accountchangedservice,account changed service
289,accountgroup,account group
290,accountinfo,account info
297,accountschangedreceiver,accounts changed receiver
298,accountservices,account services
299,accountsreceiver,accounts receiver
300,accountsummary,account summary
301,accounttree,account tree
303,accountupdater,account updater
316,accumulateorpaintverticalsegment,accumulate or paint vertical segment
320,acejob,ace job
322,acellproperties,a cell properties
334,achangetype,a change type
351,aclearance,a clearance
352,aclearscopehint,a clear scope hint
353,aclient,a client
358,acollection,a collection
360,acolor,a color
362,acomponent,a component
365,aconsumed,a consumed
366,acontaineritem,a container item
367,acontainingblock,a containing block
369,acontextflags,a context flags
371,acontract,a contract
373,acontroller,a controller
374,acontrollers,a controllers
381,acquireclientsessionbroker,acquire client session broker
383,acquirehistoricalentitymanager,acquire historical entity manager
384,acquireimportservicerecords,acquire import service records
386,acquirejob,acquire job
390,acquireunstablecontentproviderclient,acquire unstable content provider client
398,acsendnoobject,acsend no object
413,actionchat,action chat
415,actioncommand,action command
419,actiondefinitionid,action definition id
421,actionform,action form
422,actionheader,action header
427,actionmenuprovider,action menu provider
432,actionoutputs,action outputs
433,actionpackage,action package
434,actionpart,action part
438,actionscriptgenerationtest,action script generation test
439,actionsetpartassociations,action set part associations
442,actionutilities,action utilities
444,actionviewbar,action view bar
445,actionviewcomments,action view comments
450,activatejavaeditortest,activate java editor test
451,activateoptions,activate options
452,activateplugins,activate plugins
454,activateremoteframe,activate remote frame
455,activationcodetrigger,activation code trigger
457,activationheader,activation header
464,activecontext,active context
465,activecontexts,active contexts
467,activecontrol,active control
469,activedatabases,active databases
474,activepartsection,active part section
475,activeplacement,active placement
476,activepointer,active pointer
477,activescrolledroot,active scrolled root
478,activeselectionsection,active selection section
483,activitybumble,activity bumble
485,activitycategorybinding,activity category binding
490,activitydefinitions,activity definitions
491,activityidle,activity idle
496,activitylinknodes,activity link nodes
497,activitylistenersbyitem,activity listeners by item
500,activitypartitionnameeditpart,activity partition name edit part
501,activityproject,activity project
502,activityrequirementbindingdefinitions,activity requirement binding definitions
504,activitystate,activity state
505,activitystatesessionidle,activity state session idle
515,actstate,act state
516,acttreeviewer,act tree viewer
517,actualcontainer,actual container
540,adaptablelist,adaptable list
542,adaptdescriptorfor,adapt descriptor for
544,adapterfactoryclass,adapter factory class
545,adapterfactorycontentprovider,adapter factory content provider
546,adapterfactoryeditordomain,adapter factory editor domain
550,adaptorfactories,adaptor factories
553,adapttransparency,adapt transparency
570,addactivecontext,add active context
571,addalbum,add album
572,addalias,add alias
574,addappwidgetfromdrop,add app widget from drop
575,addargument,add argument
576,addarrows,add arrows
577,addaspectsaffectingtype,add aspects affecting type
578,addaspectsfromjarfile,add aspects from jar file
579,addassetpath,add asset path
583,addattributevalueproposals,add attribute value proposals
584,addauthorizationheaders,add authorization headers
586,addbatch,add batch
587,addbatterydata,add battery data
590,addbookmarkrecord,add book mark record
591,addbuffer,add buffer
593,addbundles,add bundles
594,addbuttonselectionlistener,add button selection listener
595,addcache,add cache
596,addcalendar,add calendar
598,addcert,add cert
600,addchange,add change
601,addchanged,add changed
602,addchildprojects,add child projects
604,addcol,add col
607,addcondition,add condition
608,addcontacttask,add contact task
611,addcrashannotation,add crash annotation
612,addcredentials,add credentials
613,addcreditcardactivity,add credit card activity
616,adddataauthority,add data authority
618,adddatetime,add date time
619,adddependencies,add dependencies
622,adddirectquerykey,add direct query key
625,adddraggesturelistener,add drag gesture listener
627,adddriver,add driver
630,addengine,add engine
631,addenginetostore,add engine to store
633,adderrorstatus,add error status
636,addexceptionhandlers,add exception handlers
637,addexistingtaskjob,add existing task job
638,addextendedformat,add extended format
640,addexternalfileaction,add external file action
641,addfacettoproject,add facet to project
642,addfallthroughproposals,add fall through proposals
643,addfatalerror,add fatal error
644,addfieldnametranslation,add field name translation
646,addformcomponentvaliditylistener,add form component validity listener
647,addfragment,add fragment
648,addframe,add frame
650,addfunctiontoken,add function token
653,addhandlerlistener,add handler listener
655,addhostheader,add host header
659,addimporttosourcepackagetypes,add import to source package types
660,addingcomponents,adding components
661,addingitem,adding item
663,addinitializer,add initializer
665,addinstallableunit,add installable unit
667,addinvoke,add invoke
670,additionalinfobroadcaster,additional info broadcaster
674,additiveexpression,additive expression
